r,2.0,0.0
60,0.75,2.0
60,0.25,2.75
69,0.5,3.0
70,0.25,3.5
69,0.25,3.5
67,0.25,3.5
69,0.25,3.75
72,0.25,3.75
70,0.5,4.0
69,0.5,4.5
67,0.5,5.0
65,0.5,5.5
65,1.0,6.0
64,0.25,7.0
r,0.25,7.25
60,0.5,7.5
59,0.5,8.0
62,0.5,8.0
58,0.5,8.5
64,0.5,8.5
65,0.5,9.0
r,1.0,9.0
72,0.25,9.5
r,0.25,9.75
67,1.0,10.0
72,0.5,10.0
70,0.25,10.5
r,0.25,10.75
65,1.0,11.0
70,0.5,11.0
69,0.25,11.5
r,0.25,11.75
65,1.0,12.0
69,1.0,12.0
64,0.25,13.0
67,0.25,13.0
60,0.25,13.25
62,0.25,13.5
64,0.25,13.75
65,0.25,14.0
66,0.25,14.25
67,0.25,14.5
68,0.25,14.75
69,0.5,15.0
70,0.25,15.5
69,0.25,15.5
67,0.25,15.5
69,0.25,15.75
72,0.25,15.75
70,0.5,16.0
65,0.5,16.5
69,0.5,16.5
64,0.5,17.0
67,0.5,17.0
65,0.5,17.5
65,1.0,18.0
74,1.0,18.0
r,2.0,18.0
67,1.0,19.0
76,1.0,19.0
72,1.0,20.0
79,0.25,20.0
77,0.25,20.25
76,0.25,20.5
77,0.25,20.75
76,0.25,21.0
74,0.25,21.25
72,0.25,21.5
70,0.25,21.75
69,0.5,22.0
70,0.25,22.5
69,0.25,22.5
67,0.25,22.75
69,0.25,22.75
72,0.25,23.0
70,0.25,23.25
67,0.25,23.5
64,0.25,23.75
64,1.0,24.0
67,1.0,24.0
65,0.5,25.0
r,0.5,25.5
72,0.75,26.0
77,0.25,26.75
77,1.0,27.0
76,1.0,28.0
77,0.5,29.0
79,0.25,29.5
77,0.25,29.5
76,0.25,29.5
77,0.25,29.75
81,0.25,29.75
84,1.0,30.0
83,0.25,31.0
84,0.25,31.25
86,0.25,31.5
84,0.25,31.75
82,0.25,32.0
81,0.25,32.25
79,0.25,32.5
77,0.25,32.75
77,1.0,33.0
76,1.0,34.0
77,0.25,35.0
79,0.25,35.0
77,0.25,35.0
76,0.25,35.25
77,0.25,35.25
79,0.25,35.25
81,0.25,35.5
82,0.25,35.5
81,0.25,35.5
79,0.25,35.75
81,0.25,35.75
83,0.25,35.75
86,0.5,36.0
84,0.75,36.5
83,0.25,37.25
86,0.25,37.5
84,0.25,37.75
84,0.25,38.0
82,0.25,38.25
81,0.25,38.5
82,0.25,38.75
81,0.5,39.0
82,0.25,39.5
81,0.25,39.5
79,0.25,39.5
81,0.25,39.75
84,0.25,39.75
82,0.5,40.0
81,0.5,40.5
77,0.5,40.5
79,0.5,41.0
76,0.5,41.0
77,0.5,41.5
76,1.0,42.0
72,1.0,42.0
70,0.5,43.0
74,0.5,43.0
r,0.5,43.5
74,0.75,44.0
86,0.75,44.0
72,0.25,44.75
84,0.25,44.75
84,0.25,45.0
89,0.25,45.25
88,0.25,45.5
86,0.25,45.75
85,0.25,46.0
88,0.25,46.0
86,0.25,46.25
84,0.25,46.5
82,0.25,46.75
81,0.25,47.0
84,0.25,47.25
82,0.25,47.5
79,0.25,47.75
70,1.0,48.0
79,1.0,48.0
69,0.5,49.0
77,0.5,49.0
r,0.5,49.5
81,0.5,50.0
82,0.25,50.5
81,0.25,50.5
80,0.25,50.75
81,0.25,50.75
89,1.0,51.0
50,1.0,52.0
74,0.75,53.0
86,0.75,53.0
74,0.25,53.75
86,0.25,53.75
74,1.0,54.0
86,1.0,54.0
73,0.5,55.0
85,0.5,55.0
r,0.5,55.5
84,0.5,56.0
86,0.25,56.5
84,0.25,56.5
83,0.25,56.5
84,0.25,56.75
86,0.25,56.75
88,1.0,57.0
45,1.0,58.0
79,0.75,59.0
79,0.25,59.75
79,1.0,60.0
77,0.5,61.0
r,0.5,61.5
77,0.5,62.0
79,0.25,62.5
77,0.25,62.5
76,0.25,62.75
77,0.25,62.75
86,1.0,63.0
43,1.0,64.0
77,0.75,65.0
89,0.75,65.0
77,0.25,65.75
89,0.25,65.75
77,0.5,66.0
89,0.5,66.0
76,0.25,66.5
88,0.25,66.5
r,0.25,66.75
76,0.5,67.0
88,0.5,67.0
74,0.25,67.5
86,0.25,67.5
r,0.25,67.75
74,0.5,68.0
86,0.5,68.0
72,0.25,68.5
84,0.25,68.5
r,0.25,68.75
