r,4.0,0.0
71,2.0,4.0
76,2.0,6.0
73,2.0,8.0
78,2.0,10.0
75,2.0,12.0
83,2.0,14.0
83,1.5,16.0
85,0.25,17.5
87,0.25,17.75
88,0.5,18.0
r,1.5,18.5
80,0.25,20.0
76,0.25,20.25
81,0.25,20.5
78,0.25,20.75
83,0.25,21.0
80,0.25,21.25
85,0.25,21.5
81,0.25,21.75
83,0.75,22.0
r,1.25,22.75
56,0.25,24.0
52,0.25,24.25
57,0.25,24.5
54,0.25,24.75
59,0.25,25.0
56,0.25,25.25
61,0.25,25.5
57,0.25,25.75
59,0.75,26.0
r,0.75,26.75
r,0.25,27.5
r,0.25,27.75
r,0.5,28.0
r,1.0,28.0
59,3.5,28.5
68,0.5,29.0
64,0.5,29.5
69,0.5,30.0
66,0.5,30.5
63,0.5,31.0
71,0.5,31.5
r,0.5,32.0
r,0.75,32.0
73,0.25,32.5
71,0.25,32.5
70,0.25,32.75
71,3.25,32.75
80,0.5,33.0
76,0.5,33.5
81,0.5,34.0
78,0.5,34.5
75,0.5,35.0
83,0.5,35.5
83,1.5,36.0
81,0.25,37.5
80,0.25,37.75
78,0.5,38.0
76,0.5,38.5
75,0.5,39.0
73,0.5,39.5
71,4.0,40.0
71,1.5,44.0
69,0.25,45.5
68,0.25,45.75
66,0.5,46.0
64,0.5,46.5
63,0.5,47.0
61,0.5,47.5
59,4.0,48.0
59,2.0,52.0
64,2.0,54.0
61,2.0,56.0
66,2.0,58.0
68,1.5,60.0
r,0.5,61.5
69,1.5,62.0
r,0.5,63.5
70,1.5,64.0
r,0.25,65.5
r,0.25,65.75
71,2.0,66.0
70,1.0,68.0
66,1.0,69.0
74,2.0,70.0
73,1.0,72.0
70,1.0,73.0
71,2.0,74.0
70,1.0,76.0
66,1.0,77.0
74,2.0,78.0
73,1.0,80.0
70,1.0,81.0
77,2.0,82.0
78,2/3,84.0
r,4/3,254/3
66,2/3,86.0
r,4/3,260/3
54,2/3,88.0
r,1/3,266/3
r,1.0,89.0
78,0.5,90.0
76,0.5,90.5
75,0.5,91.0
73,0.5,91.5
71,2.0,92.0
72,0.75,94.0
r,0.25,94.75
73,0.75,95.0
r,0.25,95.75
74,0.75,96.0
r,0.25,96.75
75,0.75,97.0
r,0.25,97.75
76,0.75,98.0
r,0.25,98.75
78,0.75,99.0
r,0.25,99.75
79,1.0,100.0
80,2.0,101.0
78,2.0,103.0
76,1.0,105.0
75,0.25,106.0
76,0.25,106.0
78,0.25,106.0
76,0.25,106.25
75,0.5,106.5
73,0.5,107.0
71,0.5,107.5
70,2.0,108.0
71,0.75,110.0
r,0.25,110.75
72,0.75,111.0
r,0.25,111.75
73,0.75,112.0
r,0.25,112.75
74,0.75,113.0
r,0.25,113.75
75,0.75,114.0
r,0.25,114.75
76,0.75,115.0
r,0.25,115.75
77,1.0,116.0
78,2.0,117.0
76,2.0,119.0
75,1.0,121.0
r,2.0,122.0
r,2.0,124.0
54,0.5,126.0
52,0.5,126.5
51,0.5,127.0
49,0.5,127.5
48,2.0,128.0
78,0.5,130.0
76,0.5,130.5
75,0.5,131.0
73,0.5,131.5
72,2.0,132.0
81,3.0,134.0
80,1.0,137.0
